term,category,hasSyn,id,ext_id,remark
a_shaped,shape,0,1,b2164f85-8645-4385-8ddc-b07e674234ad,""
abbreviated,size,0,2,4aa4cdaf-66cc-4b58-b0e3-2b2f9afd7d19,""
abbreviatus,structure,0,3,e88d3edf-6cfa-4fb8-b812-a9e8f3856506,""
abdomen,structure,0,4,20e2dea3-95d6-4e96-9817-d3da3b57e4d1,""
abdomen_shaped,shape,0,5,27b21aa3-1e14-43c8-a7a0-cce6f29eb4dd,""
abdominal,position,0,6,3fe21ea7-1e00-4058-9a82-c23c7185fd14,""
aberrant,normality,0,7,69437217-c855-4db7-9711-60a5a81eb4c3,""
abnormal,normality,0,8,e437d028-fce3-4396-9f7c-9a88ad67de12,""
abode,presence,0,9,6c5aede3-637f-4936-b3cb-77d19d3fca8e,""
abrupt,shape,0,10,5bae7f55-3a1d-491f-849d-85e852bb14f9,""
absence,character,1,11,b9816c9b-45d1-400c-bdbf-38147cbbd13d,""
abundance,density,1,12,8a449077-6c4c-4db1-b8f4-14ec8c250676,""
accessory,structure,0,13,15648e22-07b7-4bf8-a537-a663b06ae127,""
accommodation,development,0,14,0bd6d48c-7391-4cd8-826f-4848b7b8a4d6,""
accompanied,architecture,0,15,bc725478-083d-4646-b016-37351e9dc90c,""
achromatic,coloration,0,16,0e6b79ce-c09f-48ee-a667-1ae29316130a,""
acicular,shape,0,17,9c214083-5d32-4eae-a076-d8fe0df7e124,""
acuminate,density,0,18,ffab3b34-78a5-4954-b97e-37691f799aee,""
acuminate,shape,0,19,1af4e4b7-9094-4111-ac4d-1c1b6f1d3dec,""
acute,shape,0,20,c23a03ba-a4ca-43c2-b842-617c164fd425,""
acute_angular,shape,1,21,70e4e0aa-433a-4a69-9972-8a3f16be0171,""
adhering,position,0,22,12d886b7-b0fc-4e31-baf7-ef348c764f60,""
adipose_fin,structure,0,23,f7f71feb-065a-4f91-861c-744e980434fa,""
adjacent,position,0,24,52fa3090-22aa-43d1-a591-46f6aeb1dbc0,""
admedian,position,0,25,8f7404e7-0529-43f4-af75-603e1bd3c892,""
adopted,development,0,26,1e4ddf04-6df2-448e-b995-10a95b6bc9f4,""
adpressed,arrangement,0,27,55aaa41d-02b9-46be-a2da-a47b1c43c96b,""
adult,life_style,1,28,2ab8e6c8-0cc8-4fe1-b304-efa2ba78882a,""
advance,development,1,29,44c6d8d0-ad17-44b7-bf32-02c7b0aa4800,""
aedeagal,structure,0,30,55a53492-11b6-433c-93d9-44c40b47e51e,""
aedeagalvolsellar,structure,1,31,21f37fd4-d12c-454f-967f-20e6f6c7a448,""
aeneous,coloration,0,32,c0c512ce-750f-4c0e-8187-1fb4c88b9fb6,""
aerolate,surface_sculpture,0,33,451578a8-1ffb-43e1-bba2-1644e60327ed,""
affinities,comparison,0,34,b4bc43e9-edef-4747-adce-e09a22362e4c,""
afterneck,position,0,35,a1b219ad-69ab-49fd-975e-1f66302ba71f,""
alcohol,structure,0,36,4a336856-de5b-467c-8874-ed9ca5c2d7b6,""
align,arrangement,1,37,078a1ae2-df1f-4e3a-b94b-5761bcde67da,""
alike,comparison,0,38,e1abb2f3-c2a7-4463-8381-5f9667eaf85a,""
alitrunk,structure,1,39,c7fed775-8616-4dfc-ba7f-2491b2e13135,""
allied,comparison,0,40,abaf7c25-066b-484d-aaca-dade7e5e3b0a,""
allometric,shape,0,41,04da8e75-6901-4090-8838-1400cf13097b,""
alternating,arrangement,0,42,510ffbb1-eeb8-4dc1-8906-41383860257e,""
alutaceous,coloration,0,43,75695c58-321d-49c6-8c3b-6db0f7b6312c,""
alveolate,surface_sculpture,0,44,747c6e3d-c710-41d6-bb68-d3acda7a8f5f,""
alveolate_areolate,surface_sculpture,0,45,4983e953-e1df-4687-90d7-22907f54bfd5,""
amber,coloration,0,46,ec9a3ff8-f99b-4a14-9079-e5d52eade128,""
ambiguous,prominence,0,47,fdc7fe6d-ba55-428c-bfaa-8bda991f0df2,""
ample,coloration,0,48,543f102a-c597-48ac-a545-6123a72e6c49,""
ampyx,structure,0,49,f1c3a4b3-6164-4771-8cf8-94b4edb817a6,""
anal,position,0,50,4f0c281c-67f1-4c6a-aaf1-13ff3073cafb,""
anal_caudal,position,0,51,ae55c582-3ca7-40f8-886c-60988c5923d9,""
analfin,structure,1,52,d5655af8-ae75-4d1a-9af2-c1137a1e4307,""
anastomosing,architecture,0,53,60ffa472-9410-4ec3-9075-1c8b4a37ecb3,""
anchor_tipped,shape,0,54,e859373a-3222-4066-b9be-4f65e831b729,""
anepisternum,structure,0,55,abfb6bb5-1619-400b-8293-9b84512a02ee,""
angle,structure,1,56,151b7d64-74d3-4af9-bcd0-288b91bf77e3,""
angle_like,shape,1,57,995e9e5d-4a42-4e4d-8948-93b6e6a22738,""
angulo_convex,shape,0,58,5798775d-47ab-4d50-aaf4-73fe37805622,""
annulated,shape,0,59,82d0572e-1c36-4ab9-b786-e3c726559d60,""
annulus,structure,0,60,999f4058-b11c-40de-b601-a799bbba5d5a,""
anteanalis,structure,0,61,b8410f96-09fb-47b8-9bf5-034b73f13c06,""
antenna,structure,1,62,e57825ce-5ad0-4c5c-9a2f-75a7d0cfa4cf,""
antennomeres,structure,0,63,823a65e5-f614-40a3-a132-fcd2fcd77eaa,""
antennse,structure,0,64,5297e7c9-9b94-42cb-957a-cd2d60c7e666,""
antepenultimate,shape,0,65,b65b0084-0157-437b-8eff-9c68385cdb49,""
anteriad,position,0,66,cfcf33a1-ae7e-4651-9a00-86d11050bf00,""
anterio_basal,position,1,67,46c7c7cf-e642-40c4-b662-9d5ad6aeda89,""
anterior,position,0,68,277a538d-3a1d-4490-8659-9c83551f4aa9,""
anterior_posterior,position,0,69,2d4e41ad-25a6-4def-877a-b68c47fbe948,""
anterior_ventral,position,1,70,db464675-2661-4fb7-8d9b-50d103ab7367,""
anteriorly_directed,direction,0,71,356d7bba-0dd1-4e1e-8077-d04343d65e7a,""
anteriormost,position,0,72,f1922800-21aa-4053-8e76-09ff14a33d68,""
antero,position,0,73,4c5cd810-bc64-4acd-8d43-65ac0ee6b536,""
anterodorsal,position,1,74,1f2772b2-6843-4172-a181-8ca8e4f92e56,""
anteroinferior,position,1,75,378156cf-cc8b-4d43-9d11-abed5702a038,""
anterolateral,position,0,76,8495bf58-1593-4c93-be72-9d976ebc35de,""
anteromedial,position,0,77,da194f9a-6c19-45a9-9e6e-b299214fd52c,""
anteromesial,position,0,78,d4ed8609-0ebf-4257-ba8d-ccc308f756ff,""
anus,structure,0,79,010b5bb4-609c-4b8e-9541-f500e543c435,""
aperture,structure,0,80,3073e21c-c9e8-433b-9af3-f1ea1fd88872,""
apex,structure,1,81,39e5473d-c1b9-41b2-805e-adc280ef197b,""
apical,position,1,82,f73ff15f-0a5b-4a3e-a475-d3aa493baa9a,""
apicodorsal,position,0,83,1a3daec8-6770-4eec-8d76-1491b68e9c53,""
apicolateral,position,0,84,f32aa411-8225-4249-973d-6c6aff6f3482,""
apicomedian,position,0,85,a56a8107-9a07-4cc7-b8b6-7def36953deb,""
apicoscrobal,position,0,86,e1256c72-cee7-4241-a7a8-650d34027ec1,""
apicoventral,position,0,87,b8610a79-66b6-41c7-b0d4-dd8847c63a81,""
apilose,shape,0,88,917a523e-7ea0-4b81-bb94-f65e446781ce,""
apophysis,structure,0,89,55b2764e-e6f0-477c-8808-a20dd7a9a8ea,""
apparent,presence,0,90,b18b0b7f-9c8c-4f69-9d8c-68bb312b5270,""
appearance,manifestation,0,91,89311466-33a6-4f01-9eb2-97b429504ade,""
appendage,structure,1,92,259450d1-36ac-44bc-a777-105da649d893,""
appreciable,presence,0,93,b801d0f1-90cf-44ce-a00e-fbb0c570e58c,""
appressed,orientation,0,94,9e465c91-9bab-47ab-be2e-1e5ec4bef141,""
approximate,arrangement,0,95,e136b12d-48bb-41c6-b1e6-d77d7fc8a44c,""
apressed,shape,0,96,c467ff40-ca49-4502-ac81-ad3cab9f0864,""
apterous,shape,0,97,9b0f37aa-9276-4d1a-9a67-ba1020fd284d,""
arboreal,life_style,0,98,2ca935e4-c9c8-4224-b9b8-cd8b40287250,""
arc,shape,1,99,0732a065-1a59-4eb2-93b1-58026ed81eeb,""
arch,structure,0,100,0b248464-3f9d-47d1-a6c5-8ef27a860911,""
arched_rugose,surface_sculpture,0,101,a36d08ff-0a62-4f9e-a300-4dfca07d0505,""
arched_transverse,shape,0,102,e9c127e0-1785-40b0-95df-fbe98e64dfa1,""
arching,orientation,0,103,1b868213-df50-4594-aad4-8f44547c40aa,""
arcuate,shape,1,104,70edd291-dd55-422b-9d58-875fef7ab39f,""
area,structure,1,105,0083da82-83e9-4eed-87cf-e4c2d84704ae,""
areolate,shape,0,106,f37e6115-c9b6-4f22-84ed-52bee85b0fb0,""
areolet,surface_sculpture,0,107,47450cc9-b9f0-4cec-8285-d2ba8e21db4b,""
argentina,distribution,0,108,de919480-9b9d-47c1-839f-95af98746023,""
arid,intensity_level,0,109,705befe5-fdba-4515-b464-de57556cda26,""
arising,orientation,0,110,c2811bdc-3cc5-4178-8ced-f44682f2036d,""
arm_like,shape,0,111,132bebd6-4858-4ff1-9c9d-27fc538929e5,""
armature,structure,0,112,3738c05f-9b67-4ba3-ba4c-5da5c000cb32,""
armed,surface_configuration,0,113,a8682fb7-524e-4e2c-a10c-e215092e3835,""
armed,structure,0,114,e7229fbe-061d-415d-857d-18cafad2bd23,""
arranged,arrangement,1,115,2d7b6d71-2477-4005-99ee-baddaf4977a4,""
arrowhead,shape,0,116,d12a47ea-435e-4df9-84ec-a8e1090f6662,""
articular,shape,0,117,424b9a72-964e-4ec9-aa88-400a95766329,""
articulate,architecture,1,118,565452e7-9d16-4130-b997-b2a209536c82,""
articulation,structure,0,119,828210f7-9fc8-43b3-b1dc-1fbb1bd0f58f,""
ascending,orientation,0,120,19e43173-8f9c-41be-864f-9ce22f40dfab,""
ascertained,prominence,0,121,49dd50db-cf83-4e00-9d11-c1bff95765c7,""
asetose,surface_sculpture,0,122,e6f45f34-f800-47f1-a61a-2f3ac928bc30,""
ashy,coloration,0,123,506e54b1-2202-4ace-9aa8-5bd4f018d465,""
ashy_black,coloration,0,124,d8e8e426-2ee9-4ebf-ab8a-a2548d865b74,""
aspect,structure,0,125,066ffe90-04bd-4c92-ad1d-282dce88741a,""
assimilate,orientation,0,126,ee9a67d9-fc18-4962-8547-11ce292b25f9,""
asymmetrical,shape,0,127,c1af4637-7471-4548-9528-6c9427def9f2,""
ate,surface_sculpture,0,128,7071adcf-2016-42f4-9181-fa488c0b3ecb,""
attachment,fusion,0,129,06c9e497-c63c-4387-a05b-33eb2653d7b3,""
attenuata,structure,0,130,083bd247-e4ce-49a8-a898-7516c77fd1bd,""
attenuate,shape,1,131,96de489d-30e9-4ef8-b3ae-a69a4341c522,""
auriculate,shape,0,132,aaceb92a-99bd-4c78-8b66-59ce101afcc9,""
australia,distribution,0,133,7de6db88-8b0b-4b61-9c53-ad9b52e29d1c,""
axilla,structure,0,134,0fb68a2e-cfad-4ab4-8e59-f347bfe60377,""
axillary,position,0,135,dfd83f3f-6dbc-4feb-8b90-213912a8161b,""
axis,structure,0,136,b3fcd98b-ec3b-4748-92c0-c83ab59338f6,""
back,position,0,137,097d242c-eb81-4e83-b23d-9987260d7ac7,""
background,structure,0,138,46ab4871-f9ad-4548-9bc5-a2c635e3b5dd,""
backward,direction,1,139,a0533394-d821-4671-ae82-b1aa5c47f070,""
backward_curved,shape,0,140,5e397131-3b52-404d-a57f-2d458e7b9a78,""
backward_directed,direction,0,141,5d1914ac-6d30-42ec-b70c-849d6d7d9f3f,""
backward_pointing,direction,0,142,5930dc28-c1d3-44d0-9e43-fdffa6f4da39,""
band,structure,1,143,5428631e-0a1c-45c8-986c-bc20305dab92,""
banded,coloration,0,144,094003b7-f7a1-4351-8407-1236fe3c1eb2,""
barbulate,structure,0,145,eb1917d9-c053-4b6d-8768-dbf50e63cb1d,""
bare,density,0,146,16384fa6-5ade-4ca7-82f9-ba3d9cbd5a36,""
bare,coating,0,147,c0f3754c-47d6-4b0d-9931-bb0e9fc6a20d,""
bars,structure,0,148,f8cb284c-c016-4242-8174-6cc529029e43,""
basad,position,0,149,4d880909-f0e7-4b2a-895c-229299e5dd3f,""
basal,position,0,150,18259f20-d36f-4992-8ae3-2f9b7864dadc,""
basalmost,position,0,151,845b9546-27c6-4d4a-ab93-9fe6e5fe6737,""
base,structure,1,152,e332d731-9896-4bd9-ba17-c130f8fdbd0f,""
basic,prominence,0,153,a4bddc30-869b-4b74-bd0c-5a4cc52af324,""
basidorsal,position,0,154,fceebeb9-f39c-4dfc-986c-1973a7bf5f0f,""
basigastral,position,0,155,b5ef82f4-9ea0-4ce1-baf9-76620f707444,""
basitarsus,structure,0,156,c188265d-4fc0-4891-9137-d095bf222ec9,""
beaded,shape,0,157,e47c81fc-8ff1-448d-9ac3-cad4a9d854bc,""
beaklike,shape,0,158,30ba97d5-9d9b-471a-93d8-207fec600ed2,""
beard,structure,0,159,4edba88c-2afc-409a-85a7-852a5b1a635e,""
bearing,presence,0,160,175123c5-d579-4db2-8154-c446f615f668,""
beautiful,prominence,0,161,1346e10e-7295-4d91-8990-0c64954e5c87,""
bellshaped,shape,0,162,a7de48c8-b258-4f95-a83f-502687b21642,""
belt,structure,0,163,da8b6e74-b39a-49e1-a80b-1eae269f7653,""
bend,shape,1,164,0ecb084b-9576-4c5f-84d9-58d7fb207783,""
beset,density,0,165,658d23f5-d54a-4ddc-8151-68d15e97441a,""
best,comparison,0,166,ddfdd944-972f-4d20-a605-58551209a9d5,""
